country,id,table,wave,symptom,count,evidence,proposed_fix,status,gh_issue,pattern,proposed_title,n_countries,n_problems,leverage_rank,pattern_note
Malawi,D8,food_acquired,"2016-17,2019-20",harmonize_food maps Preferred Label 'Groundnut' <- 'Boiled groundnuts' (a vendor snack) while the raw nut has its own labels,2 of 5 waves,"_/categorical_mapping.org:90 vs :93, :144",split the label,reported,unfiled,P09-label-fold,,5,7,3,"a harmonize_* label folds two commodities (raw vs processed, snack vs nut) into one j"
Niger,D9,food_acquired,"2018-19,2021-22","cross-wave label drift on the j axis leaves near-duplicate items, and one item is the undecoded code 166",~8 drift pairs; 166 is 468 rows,food_acquired().j.unique(),extend harmonize_food,reported,unfiled,P09-label-fold,,5,7,3,"a harmonize_* label folds two commodities (raw vs processed, snack vs nut) into one j"
Tanzania,D4,crop_production j (harmonize_crop),"2019-20,2020-21","four crop labels reuse a food label whose PROCESSED form is a different commodity (Coffee & Cocoa 15.2-16.0x, Nuts 2.7-13.0x, Seeds 0.84x, Tea)",4 labels of the 21 that join,cells.csv national rung,distinguish harvest form from consumed form in harmonize_crop,reported,833,P09-label-fold,,5,7,3,"a harmonize_* label folds two commodities (raw vs processed, snack vs nut) into one j"
Uganda,D3,harmonize_crop,all,j labels broke the table's own stated join contract,"7,794 sale rows (17%) could not join the food axis","categorical_mapping.org codes 141, 741","relabel 141 -> Millet, 741 -> Matoke",fixed-in-worktree 179af546,unfiled,P09-label-fold,Uganda harmonize_crop codes 141/741 break the crop->food join contract (17% of sale rows),5,7,3,"a harmonize_* label folds two commodities (raw vs processed, snack vs nut) into one j"
Ethiopia,D3,crop_production,all,"the tree/fruit/vegetable/root sale module (ESS s.12) is not read at all, so source 4 covers field crops only","2015-16 sect12_ph_w3.dta holds 2,627 positive sale values vs s.11's 1,984",wave scripts read only sect9/sect4/sect11,wire s.12 as a second sale source,reported,820,P06-unwired-module,,4,7,4,a price or valuation module the survey shipped is present in the data and absent from the config
Mali,M1,community_prices,2014-15,only releve 3 of the questionnaire's THREE price readings is read,"40,237 of 156,060 priced readings used (25.8%); 26,745 product-variety rows priced only in releves 1-2 are lost",Mali/2014-15/_/community_prices.py:44-58,"take releve 1 with 2 and 3 as fallback, or carry an obs level as GhanaLSS does",reported,822,P06-unwired-module,,4,7,4,a price or valuation module the survey shipped is present in the data and absent from the config
Mali,M4,community_prices,2018-19,"graded absent, but the wave ships a full grappe-grain community market-price module the config never wired; data_scheme.yml's claim that EHCVM waves have no grappe key is FALSE for 2018-19","s05_co_mli2018.dta: 54,669 rows, 549 grappes, all 549 in sample().v, s05q03/q04 100% populated",Mali/2018-19/Data/s05_co_mli2018.dta.dvc,todo verdict + wire it,reported,821,P06-unwired-module,,4,7,4,a price or valuation module the survey shipped is present in the data and absent from the config
Mali,M4b,community_prices,2021-22,"no section-5 community file, but three unwired price files exist","ehcvm_prix_mli2021.dta 175,352 rows; ehcvm_nsu_mli2021.dta 8,713 rows of per-region unit weights",Mali/2021-22/Data/ehcvm_prix_mli2021.dta.dvc,todo verdict at region x milieu grain only,reported,unfiled,P06-unwired-module,"Mali 2021-22 ships three unwired price files (ehcvm_prix 175,352 rows; ehcvm_nsu unit weights; ehcvm_ihpc) at region x milieu grain -- #821 leaves 2021-22 unconfirmed",4,7,4,a price or valuation module the survey shipped is present in the data and absent from the config
Niger,D4,community_prices,2018-19,"s05_co_ner2018.dta is an unwired CLUSTER-grain community price file, contradicting data_scheme.yml and _/community_prices.py","42,247 rows, 504 grappes (every cluster), 55 products, 74 unit-sizes","column labels: Existe, s05q01 (the same produitID label set as the household food module), s05q03/q04 Releve 1/2 Prix",wire it; needs a unit crosswalk first,reported,823,P06-unwired-module,,4,7,4,a price or valuation module the survey shipped is present in the data and absent from the config
Nigeria,N-05,crop_production,"2016Q1,2019Q1,2024Q1",Quantity_sold / Value_sold are 100% NaN because W3-W5 record sales at hh-crop grain (secta3ii) with no plot linkage and the build declines to attribute them,"0 non-null of 11,829 / 15,054 / 10,432 rows vs 3,573 / 3,445 in W1/W2",c.crop_production().groupby('t')['Value_sold'].count(),"wire secta3ii at (t,i,crop) or accept a null plot",reported,843,P06-unwired-module,"Nigeria crop_production has no sale price in W3-W5 (0 of 37,315 rows): secta3ii records sales at hh-crop grain and the build requires a plot",4,7,4,a price or valuation module the survey shipped is present in the data and absent from the config
Nigeria,N-07,crop_production,"2011Q1,2013Q1 (later unchecked)","A3 q18 'If you had sold all [CROP] harvested since the last visit, what would be the total value?' -- a farmgate valuation of the whole harvest -- is populated and carried by no table","9,857/13,018 (75.7%) W1 and 9,868/12,948 (76.2%) W2 plot-crop rows, vs ~3,500 rows/wave with an actual sale",sa3q18 in secta3_harvestw1/w2.dta,wire as Value_if_sold; with sa3q6a/b it gives a farmgate unit valuation for every harvester,reported,844,P06-unwired-module,"Nigeria asks an own-consumption/farmgate valuation (sa3q18, 76% of harvest rows) that no table carries -- the nearest thing Nigeria has to source 3",4,7,4,a price or valuation module the survey shipped is present in the data and absent from the config
Malawi,D1,crop_production,all four,"sale unit ag_i02b / ag_q02b never read; sale merged on (i, crop) alone, so Value_sold/Quantity_sold is a price per the SALE unit stamped with the HARVEST unit","22.2% of 6,269 2010-11 rows; largest cell 50 kg Bag vs Kilogramme, 438 rows",malawi.py:_sale_block; Stata labels of ag_i02b vs ag_g13b,"merge on (i, _crop_code, u) too",fixed-in-worktree 6c2afa99,824,P01-sale-unit,,4,5,5,crop_production stamps the HARVEST unit on a quantity sold in the SALE unit -- every source-4 (farmgate) price in four countries
Niger,D2,crop_production,all four,u is the HARVEST unit; Value_sold/Quantity_sold is a price per SOLD unit recorded in a column the feature does not carry,sold unit == harvest unit on 98.8% / 89.4% / 93.1% / 63.0% of priced rows,"as02eq12b, AS02EQ12B, s16cq16b, s16dq05b",carry the sold unit as a column,reported,824,P01-sale-unit,,4,5,5,crop_production stamps the HARVEST unit on a quantity sold in the SALE unit -- every source-4 (farmgate) price in four countries
Nigeria,N-03,crop_production,"2011Q1,2013Q1",the sale has its own unit code sa3q11b; the build reads only the harvest unit sa3q6b and applies it to Quantity_sold,sale unit == harvest unit on 96.9% (W1) and 95.3% (W2) of positive-sale rows,nigeria.crop_production_for_wave's docstring documents an unit_sold parameter the code never reads,read sa3q11b,reported,824,P01-sale-unit,,4,5,5,crop_production stamps the HARVEST unit on a quantity sold in the SALE unit -- every source-4 (farmgate) price in four countries
Uganda,D2,crop_production.u,all,SOLD unit (a5?q7c) and sold condition never wired; Value_sold/Quantity_sold is denominated in a unit the row does not carry,2.0-10.4% of sale rows disagree with the harvest unit,CROP_COLMAPS in uganda.py:1414; 2019-20 s5aq07c_1,wire q7c as a Unit_sold level/column,reported,824,P01-sale-unit,,4,5,5,crop_production stamps the HARVEST unit on a quantity sold in the SALE unit -- every source-4 (farmgate) price in four countries
Uganda,D4,crop_production.u,2018-19,season A has no harvest unit column; u='Unknown' on every row,"5,833 u='Unknown' sale rows corpus-wide, 2,937 in 2018-19 A",CROP_COLMAPS['2018-19']['A']['unit'] = None,use the SOLD unit (93.1% populated),reported,842,P01-sale-unit,,4,5,5,crop_production stamps the HARVEST unit on a quantity sold in the SALE unit -- every source-4 (farmgate) price in four countries
Malawi,D6,food_prices,all five,"units='unitprice' returns an EMPTY frame, silently, where the country has no Price",0 rows,Country('Malawi').food_prices(units='unitprice'),"raise LabelUnavailableError-style, as labels= does",reported,828,P05-price-absent,,4,4,6,"food_acquired has no Price column, and food_prices(units='unitprice') returns an empty frame SILENTLY"
Niger,D3,food_acquired,all four,"no Price column, so sources 2 and 3 do not exist; 18,177 produced rows carry no valuation","0 of 239,031 rows","food_prices(units='unitprice') returns (0,1)",check whether the instruments ask a price that is not wired,reported,828,P05-price-absent,,4,4,6,"food_acquired has no Price column, and food_prices(units='unitprice') returns an empty frame SILENTLY"
Nigeria,N-01,food_acquired,all,"no Price column at all, so food_prices(units='unitprice') returns zero rows: sources 2 and 3 do not exist for Nigeria in the API","0 of 595,725 rows","c.food_prices(units='unitprice').shape == (0,1)",see N-07,reported,828,P05-price-absent,,4,4,6,"food_acquired has no Price column, and food_prices(units='unitprice') returns an empty frame SILENTLY"
Uganda,D5,food_acquired.Price semantics,all,transformations.py documents unitprice as 'the survey's own price question'; for Uganda it is UBOS's back-calculated Exp/Qty,94.4-99.9% of rows,"REPORT.org s.2, measured on the raw .dta",doc change in library code,reported,845,P05-price-absent,"food_prices(units='unitprice') docstring: for Uganda the stored Price IS Exp/Qty, not an elicited price",4,4,6,"food_acquired has no Price column, and food_prices(units='unitprice') returns an empty frame SILENTLY"
Ethiopia,D1,any table joined via sample,all,"v loses leading zeros: sample() '01010101601' arrives as '1010101601', so it will not join cluster_features",raw match 9.1/9.4/9.9/41.3/46.3% by wave,country.py:2331-2338 _v_to_str does str(int(float(x))),preserve string ids,reported (core),819,P07-cluster-grain,,3,6,7,"the (t, v) cluster key is broken or non-unique, so the geography rung is wrong or destroyed"
Ethiopia,D2,food_acquired,"2013-14,2015-16","68.5% / 66.6% of rows come back with v=NaN; the survivors are the urban refreshment cohort, so cluster-grain use of those waves is urban-only","30,386 of 44,337 and 44,702 of 67,161 rows",country.py:2891 v-join runs BEFORE id_walk (~2910),call local_tools.id_walk in _/food_acquired.py,reported,819,P07-cluster-grain,,3,6,7,"the (t, v) cluster key is broken or non-unique, so the geography rung is wrong or destroyed"
Ethiopia,D6,cluster_features,all but 2018-19,"the (t, v) key is not unique, so the cluster-grain projection destroys disagreeing rows","373 / 454 / 732 / 1,240 rows",GrainCollapseWarning on every build,make v a composite of district + cluster,reported,837,P07-cluster-grain,,3,6,7,"the (t, v) cluster key is broken or non-unique, so the geography rung is wrong or destroyed"
Ethiopia,D9,cluster_features,all,"District is a bare 1-2 digit code that is not a district identity, and its formatting drifts across waves",30 of 37 distinct codes occur in >1 Region,analysis.py:_prep,"make District a composite, or namespace it by Region",fixed-in-analysis,unfiled,P07-cluster-grain,Ethiopia cluster_features.District is a 1-2 digit code reused across Regions (30 of 37 codes) and reformatted between W3 and W4,3,6,7,"the (t, v) cluster key is broken or non-unique, so the geography rung is wrong or destroyed"
Tanzania,D9,cluster_features,5 of 6 waves,Site-2 grain collapse still destroys rows after the GH #323 fix,"605 / 1,304 / 404 / 197 / 177 rows",GrainCollapseWarning raised in this run,harmonize_district table,reported,837,P07-cluster-grain,,3,6,7,"the (t, v) cluster key is broken or non-unique, so the geography rung is wrong or destroyed"
Uganda,D7,cluster_features,2013-20,GrainConflictWarning on 122-221 of 706-875 clusters per wave,per wave,build-time warnings,pre-existing,reported,837,P07-cluster-grain,,3,6,7,"the (t, v) cluster key is broken or non-unique, so the geography rung is wrong or destroyed"
Mali,M2,community_prices,2014-15,"the canonical (t, v, j, u) key drops the questionnaire's variety axis; one row survives per key, chosen by row order","7,263 of 32,479 (22.4%) of (v, j, u) groups had >1 priced variety",Mali/_/mali.py:849-852,"add variety to the index, or select on a stated rule",reported,840,P03-variety-collapse,,3,3,8,"community_prices drops the questionnaire's variety axis and keeps one row per (t,v,j,u) arbitrarily"
Niger,D8,community_prices,"2011-12,2014-15","the priced item is really (product, variety) -- cs07q02 has 90 variety labels -- but variety is dropped and one row per (t,v,j,u) is kept arbitrarily",90 variety codes collapsed onto 45 products,cs07q02 / cs07q02l,carry the variety,reported,840,P03-variety-collapse,,3,3,8,"community_prices drops the questionnaire's variety axis and keeps one row per (t,v,j,u) arbitrarily"
Tanzania,D8,community_prices,"2019-20,2020-21","the (t,v,j,u) keep-first collapse resolves genuine disagreement arbitrarily","243 of 261 groups (2019-20), 1,149 of 1,281 (2020-21)","tanzania.community_prices_for_wave, its own GH #637 comment",maintainer decision,reported,840,P03-variety-collapse,"community_prices drops the questionnaire's variety axis and keeps one row per (t,v,j,u) arbitrarily (Mali 22.4%, Tanzania 90%, Niger 90 varieties -> 45 products)",3,3,8,"community_prices drops the questionnaire's variety axis and keeps one row per (t,v,j,u) arbitrarily"
GhanaLSS,D8,coverage,2005-06,the one wave with source 3 and no source 5,1 wave,absent_verdicts.csv verdict asked-not-distributed (C1;C2;C4),"acquisition, not config",reported (already adjudicated),unfiled,P10-coverage-grading,,3,3,9,"the coverage matrix grades a table absent/dropped that builds, or cannot express single-round-by-design"
Nigeria,N-10,coverage matrix,all PP rounds,"community_prices grades dropped in the five post-planting rounds and crop_production grades absent in all ten while returning 62,844 rows",5 dropped cells; 10 absent cells,.coder/coverage/latest.csv,the grader cannot record 'single-round by design' for a PP/PH wave,reported,818,P10-coverage-grading,,3,3,9,"the coverage matrix grades a table absent/dropped that builds, or cannot express single-round-by-design"
Tanzania,D6,coverage verdicts,all six,sources 2 and 3 are absent because the instrument does not ask (Section J qq.2-6 quoted -- the C4 check a closing not-asked requires),2 sources x 6 waves,REPORT.org s.1,record a not-asked capability record,reported,846,P10-coverage-grading,,3,3,9,"the coverage matrix grades a table absent/dropped that builds, or cannot express single-round-by-design"
Ethiopia,D7,common.py,n/a,fit_gap_model ran its FE specs without a rank check,1 raise + 4 saturated rows of 130,common.py ols -> np.linalg.inv(XX),require MIN_DOF residual dof,FIXED upstream,unfiled,P12-analysis-code,,3,3,10,the shared analysis code fitted saturated designs; FIXED upstream during the sweep (MIN_DOF)
GhanaLSS,D5,common.py (shared analysis code),--,"fit_gap_model guarded n<8 but not the RANK of the effects block: LinAlgError, or a saturated 'fit' with r2_fe=1.000000 and se=1.8e-14",2 failure modes,"pre-guard 1998-99 row: coef_between=-13.655, se=1.84e-14",guard on the rank of the effects block,FIXED upstream (MIN_DOF=5),unfiled,P12-analysis-code,,3,3,10,the shared analysis code fitted saturated designs; FIXED upstream during the sweep (MIN_DOF)
Nigeria,N-06,common.py (shared),n/a,fit_gap_model's BETWEEN spec raises LinAlgError instead of returning NaN when the geo dummies span the item-mean regressor,1 subset,traceback at common.py:202,catch the singularity,FIXED upstream,unfiled,P12-analysis-code,,3,3,10,the shared analysis code fitted saturated designs; FIXED upstream during the sweep (MIN_DOF)
GhanaLSS,D7,community_prices,"1987-88,1988-89,1998-99","1,478 rows whose (t, v) has no cluster_features row",250 + 705 + 523,CONTENTS.org names them individually,none -- correct survey behaviour,reported,unfiled,P15-orphan-cluster,,3,3,11,community prices for clusters the household frame does not carry
Mali,M5,community_prices,2014-15,26 grappes priced in the community questionnaire do not exist in cluster_features / sample / food_acquired,"612 of 23,646 rows (2.59%)",analysis.py PRE-CHECK (ii),investigate the grappe numbering,reported,unfiled,P15-orphan-cluster,,3,3,11,community prices for clusters the household frame does not carry
Nigeria,N-09,community_prices,"2013Q1,2016Q1",a few community clusters have no household-side cluster,"3 clusters, 87 price rows",pre-check (ii),counted and carried,reported,unfiled,P15-orphan-cluster,,3,3,11,community prices for clusters the household frame does not carry
Malawi,D5,crop_production,all four,"item level named crop, not j; breaks the cross-country j contract",--,_/data_scheme.yml crop_production.index,rename to j,reported,unfiled,P04-crop-vs-j,crop_production names its item level `crop` in Malawi/Nigeria/Mali/Niger and `j` in Uganda/Ethiopia/Tanzania,2,2,12,crop_production names its item level `crop` in four countries and `j` in three
Nigeria,N-04,crop_production,all,"the item index level is named crop, not j",5 of 5 rounds,c.crop_production().index.names,rename to j,reported,unfiled,P04-crop-vs-j,,2,2,12,crop_production names its item level `crop` in four countries and `j` in three
Mali,M3,kg factors,all,_get_kg_factors infers factors that contradict the survey's own unit labels,"Sac moyen -> 26.2 kg (label: 50), Sac petit -> 5.3 (25), Sac large -> 33.0 (100), Gramme -> 0.708 (0.001)",transformations.py:1004,seed KNOWN_METRIC from the labels' own parenthesised sizes,reported (STOP list),838,P14-kg-factors,_get_kg_factors contradicts the survey's own unit labels (Mali Sac moyen 26.2 kg vs 50; Gramme 0.708 vs 0.001) and KNOWN_METRIC lacks `gramme`,2,2,13,the inferred kg factors contradict the survey's own unit labels
Niger,D6,lsms_library/transformations.py (KNOWN_METRIC),--,"'gramme' is not a known metric token, so _kg_factor_series gives no kg factor to Niger's most common community-price unit","10,216 of 15,423 community rows (66%)",KNOWN_METRIC keys,add gramme and its plural,"reported, STOPPED (stop-list)",838,P14-kg-factors,,2,2,13,the inferred kg factors contradict the survey's own unit labels
Mali,M6,data_scheme.yml,2014-15,the food_acquired comment asserts three things that have been false since GH #380,3 false claims,Mali/_/data_scheme.yml vs Mali/2014-15/_/mapping.py,correct the comment,"reported, deliberately not fixed (a comment there moves all five Mali cache hashes)",839,P16-false-config-claim,,2,2,14,a comment or CONTENTS.org claim that the data contradict
Tanzania,D1,food_acquired / issue #112,"2019-20,2020-21",CONTENTS.org says the quantity columns are MISSING and marks it 'Critical'; they are all PRESENT (the WB re-released the files),"hh_j03_2 non-null 12,825 / 4,699",get_dataframe('2019-20/Data/HH_SEC_J1.dta'),close or re-scope #112,fixed-in-worktree 38e988ee,839,P16-false-config-claim,Tanzania CONTENTS.org / GH #112 says the 2019-20 and 2020-21 quantity columns are missing; they are present,2,2,14,a comment or CONTENTS.org claim that the data contradict
Uganda,D1,crop_production.Value_sold,2015-16,"implied sale price ~100x too small for EVERY crop, both seasons","6,868 sale rows; all-crop median 10 UGX/kg vs 1,000 (2013-14)","diagnostics.json value_sold_scale; raw a5aq8 median 850 vs 80,000",establish the cause before any rescale,"FIXED on development (0feb52fc), GH #829 open for the cause",829,P11-scale-defect,,1,1,15,a monetary column is off by a constant factor for a whole wave
Niger,D7,"crop_production, food_acquired","2018-19,2021-22",a NULL u on a declared index level; such rows are deleted outright by the framework's NaN-key groupby collapse,crop_production 441 rows (2018-19); food_acquired 12 rows (2021-22),"getattr(c,n)().reset_index().u.isna().sum()",map the unlabelled unit code,reported,842,P13-null-unit,"A NULL u on a declared index level is deleted outright by the NaN-key collapse (Niger crop_production 441 rows, food_acquired 12; Uganda u='Unknown' 5,833)",1,1,16,"a NULL or sentinel u on a declared index level, deleted outright by the NaN-key collapse"
Nigeria,N-08,cluster_features,"2023Q3,2024Q1","not declared for W5 at all, while sample and community_prices are","24,184 of 138,055 community-price rows (all of 2024Q1, 507 clusters) get no geography",.coder/coverage/latest.csv,declare W5 cluster_features,reported,841,P18-missing-wave-config,"Nigeria cluster_features is undeclared for W5 (2023Q3/2024Q1) while sample and community_prices ship it: 24,184 price rows have no geography",1,1,17,"a table declared for every wave but one, with the data present"
Tanzania,D2,tanzania.new_harmonize_units,all six,"astype(np.int64) floors every reported quantity BEFORE the unit factor: sub-1 quantities become 0 -> NaN, N.5 becomes N (unit value overstated ~1.5x)","852 rows lost; 4,581 rows inflated, median factor 1.500","tanzania.py new_harmonize_units, measured on the source .dta",rework the Piece -> 'p' sentinel so the int cast is not needed,reported,835,P19-quantity-truncation,"tanzania.new_harmonize_units floors quantities with astype(int64) before the unit factor: 852 rows lost, 4,581 unit values inflated ~1.5x",1,1,18,an integer cast floors reported quantities before the unit factor
Tanzania,D5,CONTENTS.org as a build input,all,"Tanzania/_/food_acquired.py reads food_labels out of CONTENTS.org, which country.py _ORG_HASH_SKIP excludes from the cache hash as documentation",1 country,country.py:640,move food_labels to food_items.org,reported,836,P20-cache-hash-hole,"Tanzania/_/food_acquired.py reads a build table out of CONTENTS.org, which the cache hash deliberately skips",1,1,19,a build input the cache hash deliberately skips
